EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
25,100,2.57668e-06,388096,0.000128834,7754.85,3.88096e+07
26,100,3.24641e-06,308033,0.000168813,5915.13,3.08033e+07
27,100,2.81994e-06,354617,0.000152277,6559.79,3.54617e+07
28,100,3.04206e-06,328725,0.000170355,5864.85,3.28725e+07
29,100,2.7946e-06,357832,0.000162087,6160.68,3.57832e+07
30,100,3.31667e-06,301507,0.000199,5020.94,3.01507e+07
31,100,3.95383e-06,252919,0.000245137,4076.71,2.52919e+07
32,100,4.06926e-06,245745,0.000260433,3836.4,2.45745e+07
33,100,4.04173e-06,247419,0.000266754,3742,2.47419e+07
34,100,4.00575e-06,249641,0.000272391,3668.73,2.49641e+07
35,100,4.05792e-06,246432,0.000284055,3518.02,2.46432e+07
36,100,4.11322e-06,243118,0.000296152,3372.48,2.43118e+07
37,100,4.06949e-06,245731,0.000301142,3317.24,2.45731e+07
38,100,3.89037e-06,257045,0.000295668,3378.77,2.57045e+07
39,100,3.54025e-06,282466,0.00027614,3616.61,2.82466e+07
40,100,3.66587e-06,272787,0.000293269,3406.56,2.72787e+07
41,100,3.18292e-06,314177,0.000261,3823.06,3.14177e+07
42,100,3.36303e-06,297351,0.000282494,3536.57,2.97351e+07
43,100,3.18552e-06,313920,0.000273955,3640.6,3.1392e+07
44,100,3.17358e-06,315101,0.000279275,3577.2,3.15101e+07
45,100,3.79051e-06,263817,0.000341146,2927.36,2.63817e+07
46,100,3.90957e-06,255783,0.000359681,2776.57,2.55783e+07
47,100,3.59237e-06,278368,0.000337683,2958.44,2.78368e+07
48,100,4.04394e-06,247284,0.000388218,2573.42,2.47284e+07
49,100,3.61791e-06,276403,0.000354555,2815.48,2.76403e+07
50,100,4.4778e-06,223324,0.00044778,2230.74,2.23324e+07
51,100,4.56138e-06,219232,0.00046526,2147.91,2.19232e+07
52,100,4.55655e-06,219464,0.000473881,2106.1,2.19464e+07
53,100,4.57698e-06,218485,0.00048516,2059.75,2.18485e+07
